discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id
dota 2 strat,GameLeap,testEmail,US,https://www.youtube.com/channel/UCy0-ftAwxMHzZc74OhYT3PA/about,26834.352941176472,0.01539935091980429,"- gaming channel
- DOTA 2 strat",1,85113,2018-05-07 13:33:26.587529,18.0,UCy0-ftAwxMHzZc74OhYT3PA
dota 2 strat,dotatvru,testEmail,country not detected,https://www.youtube.com/channel/UCyJfe8BMWqA2vJuYQ4PDOvw/about,13716.583333333334,0.009082679724664184,no notes,0,222029,2018-05-07 13:33:30.668213,25.0,UCyJfe8BMWqA2vJuYQ4PDOvw
dota 2 strat,GoodWIN,testEmail,RU,https://www.youtube.com/channel/UCq1DHq-pPU6Cn8HwtL22t7g/about,725195.2083333334,0.03842247073130022,no notes,0,345502,2018-05-07 13:33:35.913091,25.0,UCq1DHq-pPU6Cn8HwtL22t7g
dota 2 gameplay,Dota 2 BesT MMR ChanneL,testEmail,US,https://www.youtube.com/channel/UCm3wGlViIzboKtFDJdhDi7A/about,1226.0,0.009715523559590515,no notes,0,21181,2018-05-07 13:33:40.838968,25.0,UCm3wGlViIzboKtFDJdhDi7A
dota 2 gameplay,Dota Gameplay,testEmail,US,https://www.youtube.com/channel/UCHZ7buu1amKXgpqCVsox1aA/about,299.1,0.011961811360005943,no notes,0,42862,2018-05-07 13:33:43.138492,10.0,UCHZ7buu1amKXgpqCVsox1aA
dota 2 gameplay,Dota 2 Plays,testEmail,FR,https://www.youtube.com/channel/UCrrx5xH6Sab7C0oN7HL_AfA/about,70776.08333333333,,no notes,0,71347,2018-05-07 13:33:47.434052,25.0,UCrrx5xH6Sab7C0oN7HL_AfA
dota 2 gameplay,Dota 2 Pro,testEmail,ID,https://www.youtube.com/channel/UCCUR--YxwSYJ4QzuKsaAABw/about,971.6666666666666,0.014854202401372212,no notes,0,130244,2018-05-07 13:33:48.749911,6.0,UCCUR--YxwSYJ4QzuKsaAABw
dota breakdowns,EnderWhovian,testEmail,US,https://www.youtube.com/channel/UCc4DJY1N2Bq54yQRKLHe4Kw/about,6297.5,0.018512637289929867,no notes,0,2390,2018-05-07 13:33:52.521876,13.0,UCc4DJY1N2Bq54yQRKLHe4Kw
dota breakdowns,AnimeLab,testEmail,AU,https://www.youtube.com/channel/UCWt3xWeVSCnVPZFdhcjFsUQ/about,59148.11111111111,0.01997903567879504,no notes,0,301872,2018-05-07 13:33:55.373689,19.0,UCWt3xWeVSCnVPZFdhcjFsUQ
pubg,Luladopub,testEmail,country not detected,https://www.youtube.com/channel/UCXEa3KTNQkkZ8OTFOKwSgSQ/about,133078.17647058822,0.1127826716502904,- foreign channel,0,163162,2018-05-07 14:45:05.184619,20.0,UCXEa3KTNQkkZ8OTFOKwSgSQ
