discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id
COD strategy,Call of Duty,testEmail,country not detected,https://www.youtube.com/channel/UC9YydG57epLqxA9cTzZXSeQ/about,"367,642.43",4.99%,no notes,1,5314064,2018-05-07 13:32:07,25,UC9YydG57epLqxA9cTzZXSeQ
pro overwatch highlights,Overwatch Highlights,testEmail,country not detected,https://www.youtube.com/channel/UC02vp6CdqGfbJFF5tYc8mOw/about,"359,513.87",3.04%,no notes,1,518423,2018-05-07 15:20:33,16,UC02vp6CdqGfbJFF5tYc8mOw
overwatch tips,KarQ,testEmail,CA,https://www.youtube.com/channel/UCQH4V9PiY_eLo4Ihr1tWCwQ/about,"325,409.06",3.51%,no notes,1,186402,2018-05-07 15:16:59,16,UCQH4V9PiY_eLo4Ihr1tWCwQ
dota breakdowns,Monstercat: Uncaged,testEmail,country not detected,https://www.youtube.com/channel/UCJ6td3C9QlPO9O_J5dF4ZzA/about,"321,957.13",3.16%,no notes,1,6841698,2018-05-07 14:45:38,25,UCJ6td3C9QlPO9O_J5dF4ZzA
god of war review,Jeremy Jahns,testEmail,country not detected,https://www.youtube.com/channel/UC7v3-2K1N84V67IF-WTRG-Q/about,"311,427.58",4.13%,no notes,1,1413571,2018-05-07 13:30:57,13,UC7v3-2K1N84V67IF-WTRG-Q
home cinema set,ThatcherJoeVlogs,testEmail,country not detected,https://www.youtube.com/channel/UCzE4rHZD7TdxGqfMzVT_p2w/about,"289,915.50",6.30%,no notes,1,3660147,2018-05-07 15:23:06,14,UCzE4rHZD7TdxGqfMzVT_p2w
starcraft II review,AngryJoeShow,testEmail,country not detected,https://www.youtube.com/channel/UCsgv2QHkT2ljEixyulzOnUQ/about,"257,569.60",4.46%,no notes,1,2961566,2018-05-07 13:30:37,21,UCsgv2QHkT2ljEixyulzOnUQ
overwatch study,Extra Credits,testEmail,US,https://www.youtube.com/channel/UCCODtTcd5M1JavPCOr_Uydg/about,"241,355.54",4.55%,no notes,1,1436073,2018-05-07 14:46:27,13,UCCODtTcd5M1JavPCOr_Uydg
home audio set,Sony Electronics Asia Pacific,testEmail,country not detected,https://www.youtube.com/channel/UCWiGq3CvFbeS0qxsz5eSjug/about,"234,873.87",0.01%,no notes,1,50480,2018-05-07 15:22:40,25,UCWiGq3CvFbeS0qxsz5eSjug
home audio,STARTVSTAR,testEmail,country not detected,https://www.youtube.com/channel/UCsFINj3y7SjBaeUxiSdRjlA/about,"222,871.63",0.83%,no notes,1,872813,2018-05-07 15:22:04,25,UCsFINj3y7SjBaeUxiSdRjlA
fortnite strategy solo,The Goblin,testEmail,country not detected,https://www.youtube.com/channel/UCBiOLEd_eG9Z1Suef9Gt-wQ/about,"202,416.70",2.30%,no notes,1,124080,2018-05-07 15:28:26,25,UCBiOLEd_eG9Z1Suef9Gt-wQ
apple watch review,Krystal Key,testEmail,US,https://www.youtube.com/channel/UCYGjbdDveVI8hGXyQBCeMZQ/about,"196,216.96",2.99%,no notes,1,380661,2018-05-07 13:32:40,25,UCYGjbdDveVI8hGXyQBCeMZQ
pubg xbox 1,PriesT,testEmail,US,https://www.youtube.com/channel/UCK1N1wWVuDy_rhdkeqfsH5Q/about,"190,655.67",3.22%,no notes,1,387653,2018-05-07 15:26:43,25,UCK1N1wWVuDy_rhdkeqfsH5Q
super smash tournement,Alpharad,testEmail,US,https://www.youtube.com/channel/UCBODyKF0JMbUd6D9Bklyzbw/about,"189,216.75",3.95%,no notes,1,742572,2018-05-07 14:47:15,12,UCBODyKF0JMbUd6D9Bklyzbw
overwatch strategy,Your Overwatch,testEmail,country not detected,https://www.youtube.com/channel/UCEzOHrh9snmHJSGu9wmOvsw/about,"185,616.50",3.30%,"- big active channel
- overwatch content",1,634827,2018-05-07 13:31:11,25,UCEzOHrh9snmHJSGu9wmOvsw
overwatch gameplay,TmarTn2,testEmail,US,https://www.youtube.com/channel/UC36MGPfPwOWafAXauiV4LdA/about,"179,638.11",3.34%,"- former big utuber
",1,3148155,2018-05-07 15:17:40,10,UC36MGPfPwOWafAXauiV4LdA
starcraft II review,Smosh Games,testEmail,US,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww/about,"174,619.38",4.60%,"- smosh, former big utubers
- gaming content related
- might be worth?  notsure",1,7238162,2018-05-07 13:30:39,15,UCJ2ZDzMRgSrxmwphstrm8Ww
super smash fox tutorial,My Smash Corner,testEmail,country not detected,https://www.youtube.com/channel/UCUrNeTSE-9VfVr0LF-VT4iA/about,"172,485.00",3.83%,- sporatic uploads,0,174600,2018-05-07 14:47:31,13,UCUrNeTSE-9VfVr0LF-VT4iA
home audio,JRCastroLVVEVO,testEmail,country not detected,https://www.youtube.com/channel/UCyGokpZUFRjw1W2fP7rqWPg/about,"170,510.92",1.03%,- music channnel,0,19043,2018-05-07 15:22:15,14,UCyGokpZUFRjw1W2fP7rqWPg
fornite news,TrueTriz,testEmail,country not detected,https://www.youtube.com/channel/UCRzO050f2DOQ0iZsylVH4dw/about,"156,795.10",7.87%,- gaming channel,1,1024507,2018-05-07 13:31:54,11,UCRzO050f2DOQ0iZsylVH4dw
